layer,character,pixels,x0,x1,y0,y1,mean_rgb,body_fraction,verdict
neonblue/neonblue_19_determined.png,neonblue,1229,520,583,657,692,#62D089,0.567,UNREVIEWED
scarline/scarline_29_lookingup.png,scarline,1172,451,522,531,558,#EE7C7D,0.46,UNREVIEWED
moodz/moodz_17_disgusted.png,moodz,1125,286,334,730,785,#E28D56,0.647,UNREVIEWED
twotone/twotone_13_pointing.png,twotone,963,610,684,341,407,#C48263,0.306,UNREVIEWED
clever/clever_29_lookingup.png,clever,916,343,380,470,505,#D77874,0.491,UNREVIEWED
ash/ash_28_celebrating.png,ash,859,411,463,525,556,#C87D7B,0.457,UNREVIEWED
clever/clever_13_pointing.png,clever,859,373,408,471,505,#D96860,0.492,UNREVIEWED
zombie/zombie_00_clean_base.png,zombie,856,296,335,727,767,#E69057,0.636,UNREVIEWED
twotone/twotone_29_lookingup.png,twotone,797,473,526,553,577,#F3827D,0.477,UNREVIEWED
clever/clever_02_threeqtr.png,clever,648,385,420,479,510,#B55F5C,0.498,UNREVIEWED
twotone/twotone_13_pointing.png,twotone,629,181,232,657,716,#D89474,0.568,UNREVIEWED
twotone/twotone_13_pointing.png,twotone,578,558,613,795,876,#D08F72,0.692,UNREVIEWED
neonblue/neonblue_25_crouching.png,neonblue,521,303,334,732,763,#63DB8C,0.635,UNREVIEWED
twotone/twotone_13_pointing.png,twotone,498,549,602,348,390,#CE8D6D,0.303,UNREVIEWED
twotone/twotone_12_sitting.png,twotone,488,162,215,554,569,#D38D73,0.462,UNREVIEWED
moodz/moodz_23_waving.png,moodz,383,284,319,480,522,#DE8D5A,0.424,UNREVIEWED
clever/clever_28_celebrating.png,clever,352,344,384,479,494,#DB8081,0.491,UNREVIEWED
moodz/moodz_30_backview.png,moodz,348,328,347,749,782,#E08C55,0.65,UNREVIEWED
moodz/moodz_24_thinking.png,moodz,331,310,328,741,778,#DE8A56,0.645,UNREVIEWED
neonblue/neonblue_00_clean_base.png,neonblue,244,314,335,729,750,#66DE8C,0.627,UNREVIEWED
neonblue/neonblue_18_sleepy.png,neonblue,231,315,335,731,750,#62D78B,0.628,UNREVIEWED
twotone/twotone_13_pointing.png,twotone,224,210,253,704,726,#D59375,0.59,UNREVIEWED
moodz/moodz_19_determined.png,moodz,222,286,320,777,785,#E38F59,0.66,UNREVIEWED
neonblue/neonblue_15_laughing.png,neonblue,189,315,333,732,750,#63DA8C,0.628,UNREVIEWED
neonblue/neonblue_17_disgusted.png,neonblue,182,496,515,717,737,#65DB8D,0.613,UNREVIEWED
neonblue/neonblue_17_disgusted.png,neonblue,170,323,336,706,726,#64D68A,0.604,UNREVIEWED
clever/clever_17_disgusted.png,clever,164,353,372,451,480,#E2837F,0.465,UNREVIEWED
twotone/twotone_13_pointing.png,twotone,152,148,180,628,645,#D59171,0.524,UNREVIEWED
neonblue/neonblue_26_reaching.png,neonblue,150,322,327,484,530,#67D08A,0.429,UNREVIEWED
moodz/moodz_15_laughing.png,moodz,147,315,331,734,750,#E1905D,0.629,UNREVIEWED
twotone/twotone_13_pointing.png,twotone,123,203,216,621,636,#D89576,0.518,UNREVIEWED
clever/clever_28_celebrating.png,clever,117,330,357,474,486,#DB8181,0.482,UNREVIEWED
twotone/twotone_13_pointing.png,twotone,98,502,516,364,377,#CC8A6D,0.305,UNREVIEWED
clever/clever_17_disgusted.png,clever,96,356,372,512,527,#E3827F,0.523,UNREVIEWED
neonblue/neonblue_26_reaching.png,neonblue,93,583,591,455,473,#60D38B,0.394,UNREVIEWED
static/static_scene_freeze.png,static,91,533,549,598,611,#F1847F,0.497,UNREVIEWED
clever/clever_28_celebrating.png,clever,82,324,356,468,474,#DA7F7F,0.473,UNREVIEWED
clever/clever_28_celebrating.png,clever,74,361,378,494,501,#DB8080,0.502,UNREVIEWED
clever/clever_17_disgusted.png,clever,69,419,423,482,507,#E38380,0.496,UNREVIEWED
twotone/twotone_13_pointing.png,twotone,60,242,249,665,690,#CB8C6A,0.557,UNREVIEWED
